fichier,horodatage,lat,lon,altitude_m,position_m,vegetation,nettete,exposition,focale_35mm,retenue,doublon_de,azimut_estime_deg,azimut_fiable
IMG_20260915_153548 Xavier.jpg,2026:09:15 15:35:48,48.241184,2.703845,107.6,0.0,0.177,3874.6,0.535,13.0,1,,,0
IMG_20260915_153737 Xavier.jpg,2026:09:15 15:37:37,48.242719,2.701493,109.9,243.2,0.441,3968.5,0.502,13.0,1,,,0
IMG_6705 Damien.jpeg,2026:09:15 15:37:54,48.2438778,2.7004139,63.7,394.3,0.47,4612.0,0.431,24.0,1,,,0
IMG_6706 Damien.jpeg,2026:09:15 15:37:57,48.2439889,2.7011222,62.0,448.2,0.453,3833.4,0.411,24.0,1,,,0
IMG_6707 Damien.jpeg,2026:09:15 15:41:23,48.2494806,2.6972889,60.9,1118.4,0.179,1994.4,0.444,24.0,0,,,0
IMG_6708 Damien.jpeg,2026:09:15 15:42:49,48.249675,2.6973722,61.0,1140.8,0.528,4023.8,0.459,14.0,0,,,0
IMG_6709 Damien.jpeg,2026:09:15 15:42:52,48.2496333,2.6972806,61.9,1149.0,0.49,5618.1,0.399,16.0,1,,,0
IMG_20260915_154421 Xavier.jpg,2026:09:15 15:44:21,48.248092,2.697288,0.0,1319.3,0.377,3406.2,0.479,13.0,1,,,0
IMG_6710 Damien.jpeg,2026:09:15 15:44:21,48.2513111,2.6969,67.7,1676.3,0.376,5250.8,0.457,16.0,0,,,0
IMG_6711 Damien.jpeg,2026:09:15 15:45:14,48.2518083,2.6967667,65.8,1732.2,0.458,3721.6,0.44,16.0,1,,,0
IMG_6712 Damien.jpeg,2026:09:15 15:45:19,48.2518,2.6967639,65.3,1733.1,0.163,3824.8,0.47,16.0,0,,,0
IMG_20260915_154525 Xavier.jpg,2026:09:15 15:45:25,48.251874,2.696807,111.1,1741.9,0.204,2941.4,0.494,13.0,0,,,0
